yearID,teamID,W,L,R,RA,H,HR,BB,SO,Win
1871,BS1,20,10,401,303,426,3,60,19.0,1
1871,CH1,19,9,302,241,323,10,60,22.0,1
1871,CL1,10,19,249,341,328,7,26,25.0,0
1871,FW1,7,12,137,243,178,2,33,9.0,0
1871,NY2,16,17,302,313,403,1,33,15.0,0
1871,PH1,21,7,376,266,410,9,46,23.0,1
1871,RC1,4,21,231,287,274,3,38,30.0,0
1871,TRO,13,15,351,362,384,6,49,19.0,0
1871,WS3,15,15,310,303,375,6,48,13.0,0
1872,BL1,35,19,617,434,747,14,27,28.0,1
1872,BR1,3,26,152,413,235,0,14,29.0,0
1872,BR2,9,28,237,473,370,0,19,24.0,0
1872,BS1,39,8,521,236,677,7,28,26.0,1
1872,CL1,6,16,174,254,272,0,17,13.0,0
1872,MID,5,19,220,348,305,1,5,12.0,0
1872,NY2,34,20,523,362,668,4,55,52.0,1
1872,PH1,30,14,539,349,678,4,69,47.0,1
1872,TRO,15,10,273,191,329,5,7,14.0,1
1872,WS3,2,7,54,140,93,0,4,4.0,0
1872,WS4,0,11,80,190,105,0,1,3.0,0
1873,BL1,34,22,644,451,810,12,40,25.0,1
1873,BL4,0,6,26,152,33,0,0,0.0,0
1873,BR2,17,37,366,549,588,6,53,43.0,0
1873,BS1,43,16,739,460,930,13,62,24.0,1
1873,ELI,2,21,98,299,204,0,8,22.0,0
1873,NY2,29,24,424,385,622,5,42,22.0,1
1873,PH1,28,23,474,403,683,4,35,32.0,1
1873,PH2,36,17,526,396,645,8,62,39.0,1
1873,WS5,8,31,283,485,408,3,19,33.0,0
1874,BL1,9,38,227,505,435,1,24,0.0,0
1874,BR2,22,33,301,449,497,1,32,0.0,0
1874,BS1,52,18,735,415,981,18,32,0.0,1
1874,CH2,28,31,418,480,690,3,34,0.0,0
1874,HR1,16,37,371,471,587,2,26,0.0,0
1874,NY2,42,23,500,377,709,8,38,0.0,1
1874,PH1,33,22,441,344,646,6,24,0.0,1
1874,PH2,29,29,476,428,690,3,28,0.0,0
1875,BR2,2,42,132,438,304,2,10,0.0,0
1875,BS1,71,8,831,343,1124,14,31,0.0,1
1875,CH2,30,37,379,416,697,0,24,0.0,0
1875,HR1,54,28,557,343,873,2,40,0.0,1
1875,KEO,1,12,45,88,81,0,1,0.0,0
1875,NH1,7,40,170,397,374,2,13,0.0,0
1875,NY2,30,38,328,425,626,7,21,0.0,0
1875,PH1,53,20,699,402,940,10,40,0.0,1
1875,PH2,37,31,470,376,681,5,22,0.0,1
1875,PH3,2,12,70,138,126,0,8,0.0,0
1875,SL1,4,15,60,161,138,0,14,0.0,0
1875,SL2,39,29,386,369,641,0,33,0.0,1
1875,WS6,5,23,107,338,194,0,5,0.0,0
1876,BSN,39,31,471,450,723,9,58,98.0,1
1876,CHN,52,14,624,257,926,8,70,45.0,1
1876,CN1,9,56,238,579,555,4,41,136.0,0
1876,HAR,47,21,429,261,711,2,39,78.0,1
1876,LS1,30,36,280,344,641,6,24,98.0,0
1876,NY3,21,35,260,412,494,2,18,35.0,0
